Year,Rank,Airline
2023,89,TAP Portugal
2023,90,RwandAir
2023,91,PLAY
2023,92,TUI Airways
2023,93,Air Canada rouge
2023,94,Citilink
2023,95,Juneyao Air
2023,96,Air Dolomiti
2023,97,Breeze Airways
2023,98,Norwegian
2023,99,Porter Airlines
2023,100,Brussels Airlines
2024,1,Qatar Airways
2024,2,Singapore Airlines
2024,3,Emirates
2024,4,ANA All Nippon Airways
2024,5,Cathay Pacific Airways
2024,6,Japan Airlines
2024,7,Turkish Airlines
2024,8,EVA Air
2024,9,Air France
2024,10,Swiss International Air Lines
2024,11,Korean Air
2024,12,Hainan Airlines
2024,13,British Airways
2024,14,Fiji Airways
2024,15,Iberia
2024,16,Vistara
2024,17,Virgin Atlantic
2024,18,Lufthansa
2024,19,Etihad Airways
2024,20,Saudia
2024,21,Delta Air Lines
2024,22,Air New Zealand
2024,23,Finnair
2024,24,Qantas Airways
2024,25,Oman Air
2024,26,KLM Royal Dutch Airlines
2024,27,Bangkok Airways
2024,28,Austrian Airlines
2024,29,Air Canada
2024,30,AirAsia
2024,31,China Southern Airlines
2024,32,Scoot
2024,33,Thai Airways
2024,34,Garuda Indonesia
2024,35,STARLUX Airlines
2024,36,Ethiopian Airlines
2024,37,Asiana Airlines
2024,38,Air Astana
2024,39,Malaysia Airlines
2024,40,Aegean Airlines
2024,41,Gulf Air
2024,42,United Airlines
2024,43,LATAM
2024,44,China Airlines
2024,45,Vietnam Airlines
2024,46,Azerbaijan Airlines
2024,47,Volotea
2024,48,Flynas
2024,49,Aer Lingus
2024,50,Rex Airlines
2024,51,Transavia France
2024,52,IndiGo
2024,53,Azul Brazilian
2024,54,Virgin Australia
2024,55,Royal Air Maroc
2024,56,Vueling Airlines
2024,57,Porter Airlines
2024,58,airBaltic
2024,59,Air Transat
2024,60,Alaska Airlines
2024,61,Hong Kong Airlines
2024,62,Iberia Express
2024,63,Ryanair
2024,64,WestJet
2024,65,jetBlue Airways
2024,66,EasyJet
2024,67,flyDubai
2024,68,Jet2.com
2024,69,South African Airways
2024,70,Eurowings
2024,71,TAP Portugal
2024,72,SunExpress
2024,73,Royal Brunei Airlines
2024,74,ITA Airways
2024,75,Jetstar Airways
2024,76,SKY Airline
2024,77,Kenya Airways
2024,78,American Airlines
2024,79,SAS Scandinavian
2024,80,JetSMART Airlines
2024,81,RwandAir
2024,82,Allegiant Air
2024,83,TUI Airways
2024,84,Jetstar Asia
2024,85,Air Mauritius
2024,86,Sun Country Airlines
2024,87,PLAY
2024,88,Egyptair
2024,89,Peach
2024,90,Air India
2024,91,Breeze Airways
2024,92,Kuwait Airways
2024,93,Southwest Airlines
2024,94,Air Arabia
2024,95,LOT Polish
2024,96,Philippine Airlines
2024,97,Copa Airlines
2024,98,Air Dolomiti
2024,99,Hawaiian Airlines
2024,100,FlyArystan
